suburb,year,type,median,total
Mernda,2017,All,602500,31642000
Mernda,2018,All,599000,19561558
Moorabbin,2016,All,942250,50145750
Moorabbin,2017,All,1115500,46535500
Moorabbin,2018,All,982500,13138500
Roxburgh Park,2017,All,543500,30728700
Roxburgh Park,2018,All,588750,9853500
Dallas,2017,All,478944,12967888
Dallas,2018,All,517500,4094000
Deepdene,2017,All,1715000,6390000
Deepdene,2018,All,3080000,7622500
Craigieburn,2017,All,555500,79397300
Craigieburn,2018,All,583000,40065300
Vermont South,2017,All,1250000,33280000
Vermont South,2018,All,1170000,5717000
Waterways,2017,All,1248500,4414000
Mickleham,2017,All,543000,3706000
Mickleham,2018,All,1120000,2240000
Williamstown,2016,All,1200000,73407000
Williamstown,2017,All,1290000,126078000
Williamstown,2018,All,1202500,35654000
Wallan,2017,All,426000,1702000
Wallan,2018,All,565000,4055000
Aspendale,2017,All,1125000,25790000
Aspendale,2018,All,960000,4825000
Hadfield,2016,All,632750,29356574
Hadfield,2017,All,755000,25745388
Hadfield,2018,All,779750,6546500
Balaclava,2016,All,501250,10947000
Balaclava,2017,All,663750,24377000
Balaclava,2018,All,857000,7339500
Rowville,2017,All,902500,22693800
Rowville,2018,All,930000,7851000
Wildwood,2017,All,1030000,1030000
Greenvale,2017,All,732500,38271000
Greenvale,2018,All,690000,18271000
Avondale Heights,2016,All,756000,49065000
Avondale Heights,2017,All,850000,66368000
Avondale Heights,2018,All,792750,10287000
Frankston,2017,All,632000,44046638
Frankston,2018,All,654000,16616777
Carrum Downs,2017,All,552500,10409000
Carrum Downs,2018,All,556250,2253500
East Melbourne,2016,All,1015000,23467000
East Melbourne,2017,All,897500,25312500
East Melbourne,2018,All,700000,700000
Pascoe Vale,2016,All,673750,78131500
Pascoe Vale,2017,All,770000,132006450
Pascoe Vale,2018,All,805000,24166000
Cranbourne West,2017,All,640000,1280000
Cranbourne West,2018,All,523625,1047250
Hampton Park,2017,All,622000,2888000
Yarraville,2016,All,865000,81491644
Yarraville,2017,All,983750,137763600
Yarraville,2018,All,954500,28555999
Lynbrook,2017,All,613750,1227500
MacLeod,2017,All,775000,39168000
MacLeod,2018,All,800000,14021500
Clyde North,2017,All,662000,1324000
Clyde North,2018,All,575000,575000
Notting Hill,2017,All,1075000,9186500
Caulfield South,2016,All,1197500,39443000
Caulfield South,2017,All,1218500,49718000
Caulfield South,2018,All,1510000,15277000
Carnegie,2016,All,820000,87610350
Carnegie,2017,All,803000,109487810
Carnegie,2018,All,885000,12461000
Southbank,2016,All,623000,17906000
Southbank,2017,All,580000,13419500
Southbank,2018,All,722750,7406500
Montrose,2017,All,735000,735000
Malvern,2016,All,1611000,93098000
Malvern,2017,All,1995000,115243000
Malvern,2018,All,2750000,37998000
Melbourne,2016,All,570000,44990000
Melbourne,2017,All,683000,59756000
Melbourne,2018,All,650000,10255500
Sunbury,2017,All,518000,55980500
Sunbury,2018,All,532000,19597000
Black Rock,2017,All,1215000,31382500
Black Rock,2018,All,1572500,10015000
Bullengarook,2017,All,875000,3715000
Bullengarook,2018,All,865000,865000
Niddrie,2016,All,840000,48929500
Niddrie,2017,All,960000,66397500
Niddrie,2018,All,1135000,11770000
Gisborne,2017,All,650000,9930000
Gisborne,2018,All,583000,5714500
Collingwood,2016,All,887500,31143000
Collingwood,2017,All,931000,46283500
Collingwood,2018,All,1079500,7565500
Balwyn,2016,All,1850000,190801500
Balwyn,2017,All,1755000,187798000
Balwyn,2018,All,2020000,45592000
Deer Park,2017,All,610000,19593000
Deer Park,2018,All,580000,5570500
Travancore,2016,All,1178500,6477000
Travancore,2017,All,608000,5612500
Travancore,2018,All,1100000,3522000
Seabrook,2017,All,607500,3699000
Bulleen,2016,All,1105000,66031500
Bulleen,2017,All,1230000,66287400
Bulleen,2018,All,1198000,19869000
Watsonia,2016,All,680500,22353500
Watsonia,2017,All,830000,39702300
Watsonia,2018,All,740500,4451000
Ringwood North,2017,All,947500,20920000
Ringwood North,2018,All,975000,5711888
Altona North,2016,All,709000,46662500
Altona North,2017,All,830000,58265500
Altona North,2018,All,805000,8001000
Templestowe,2017,All,1367500,84246388
Templestowe,2018,All,1475000,22296666
Ashwood,2016,All,1100000,37513800
Ashwood,2017,All,1200000,60851750
Ashwood,2018,All,1350000,14257500
Epping,2017,All,584500,65633450
Epping,2018,All,616000,22117800
Greensborough,2017,All,817250,70327500
Greensborough,2018,All,809000,26130000
Cranbourne,2017,All,563500,6348008
Cranbourne,2018,All,686000,686000
The Basin,2017,All,580600,2338200
Point Cook,2017,All,655000,41670250
Point Cook,2018,All,675000,21661840
Clifton Hill,2016,All,1127500,38507000
Clifton Hill,2017,All,1310000,88587500
Clifton Hill,2018,All,1025000,10811000
Chirnside Park,2017,All,757500,4567982
Chirnside Park,2018,All,830000,2305000
Essendon,2016,All,954000,134002500
Essendon,2017,All,1002000,206389000
Essendon,2018,All,1008750,51258500
Wantirna South,2017,All,1050000,38659000
Wantirna South,2018,All,940000,11007001
Burnley,2016,All,1103750,4319510
Burnley,2017,All,1195000,6588500
Burnley,2018,All,1576500,3153000
Blackburn North,2017,All,1215000,30569000
Blackburn North,2018,All,1010000,12626000
Seddon,2016,All,928750,35706000
Seddon,2017,All,980000,47841500
Seddon,2018,All,1020000,8489500
Scoresby,2017,All,962000,8984800
Scoresby,2018,All,939500,3942000
Heidelberg West,2016,All,628000,27267250
Heidelberg West,2017,All,718500,40226600
Heidelberg West,2018,All,650000,2458000
Williams Landing,2017,All,591000,3121000
Williams Landing,2018,All,630000,1260000
Ferny Creek,2018,All,690000,690000
Thornbury,2016,All,887000,77256750
Thornbury,2017,All,1000000,136069781
Thornbury,2018,All,995000,41856000
Yallambie,2016,All,721000,15691500
Yallambie,2017,All,857000,17535250
Yallambie,2018,All,745000,3712000
Briar Hill,2017,All,780000,15174500
Briar Hill,2018,All,825000,825000
Ashburton,2016,All,1550000,83919000
Ashburton,2017,All,1715000,85212500
Ashburton,2018,All,1850000,11850500
Carlton North,2016,All,1280000,31872000
Carlton North,2017,All,1555000,64653000
Carlton North,2018,All,1065000,12761000
Spotswood,2016,All,863250,16953000
Spotswood,2017,All,978000,24535000
Spotswood,2018,All,1060000,3177000
Heidelberg,2016,All,985000,28849500
Heidelberg,2017,All,870000,40013500
Heidelberg,2018,All,805000,6329000
Richmond,2016,All,1040000,202390750
Richmond,2017,All,1055000,221485700
Richmond,2018,All,1010000,44793150
Vermont,2017,All,1050500,27122500
Vermont,2018,All,907500,7691000
Canterbury,2016,All,1821500,73980000
Canterbury,2017,All,2408000,120311000
Canterbury,2018,All,2402500,8542000
Burnside Heights,2017,All,586500,4882000
Burnside Heights,2018,All,655000,1310000
Cranbourne East,2017,All,440000,440000
Brooklyn,2016,All,495000,6534000
Brooklyn,2017,All,640000,12033099
Brooklyn,2018,All,655000,3180000
Coburg,2016,All,825000,95689500
Coburg,2017,All,970000,153949476
Coburg,2018,All,938000,33073500
Oakleigh East,2017,All,954500,21664500
Oakleigh East,2018,All,1030500,8981000
Heidelberg Heights,2016,All,661250,31113100
Heidelberg Heights,2017,All,757000,54919250
Heidelberg Heights,2018,All,858000,7920500
Glen Iris,2016,All,1600000,208366800
Glen Iris,2017,All,1446000,250337000
Glen Iris,2018,All,1360000,42992000
Blackburn,2017,All,1300000,57900600
Blackburn,2018,All,1475000,23578000
Kingsville,2016,All,816500,20576200
Kingsville,2017,All,922500,26008500
Kingsville,2018,All,1020000,8045000
Clarinda,2017,All,882000,10122300
Clarinda,2018,All,802000,7460500
Doncaster East,2017,All,1327500,131413900
Doncaster East,2018,All,1198000,24483800
Sunshine West,2016,All,540000,37682900
Sunshine West,2017,All,660000,53239900
Sunshine West,2018,All,650000,12622500
Ringwood,2017,All,910000,44732299
Ringwood,2018,All,880000,12024000
Abbotsford,2016,All,985000,43080500
Abbotsford,2017,All,1082500,55895500
Abbotsford,2018,All,1077500,6446000
Kew East,2016,All,1615000,58454000
Kew East,2017,All,1775000,81584000
Kew East,2018,All,1762000,24054000
Pakenham,2017,All,493000,6493000
Pakenham,2018,All,675500,1351000
Maribyrnong,2016,All,730000,67289700
Maribyrnong,2017,All,945000,85256388
Maribyrnong,2018,All,631250,13459500
Caroline Springs,2017,All,585000,13000500
Caroline Springs,2018,All,583750,3592500
Caulfield East,2016,All,1300000,10541000
Caulfield East,2017,All,910000,8084000
Caulfield East,2018,All,1520000,1520000
McKinnon,2017,All,1536500,37971800
McKinnon,2018,All,1730000,7855000
Hawthorn East,2016,All,1450000,109578250
Hawthorn East,2017,All,1145000,140082488
Hawthorn East,2018,All,1410000,28400000
Strathmore Heights,2016,All,800000,7641999
Strathmore Heights,2017,All,800000,2435500
Strathmore Heights,2018,All,1270000,1270000
Albert Park,2016,All,1800000,63969000
Albert Park,2017,All,1960000,108810500
Albert Park,2018,All,1422000,6492000
South Morang,2017,All,621000,44380000
South Morang,2018,All,675000,12328500
Balwyn North,2016,All,1650500,205302300
Balwyn North,2017,All,1750000,270397000
Balwyn North,2018,All,1800000,54775000
Murrumbeena,2016,All,1076000,50081000
Murrumbeena,2017,All,1125000,80718188
Murrumbeena,2018,All,1300000,16696000
Croydon,2017,All,856500,67032600
Croydon,2018,All,810000,18503200
Melton South,2017,All,403500,17870250
Melton South,2018,All,412500,5856500
Knoxfield,2017,All,950000,9178000
Knoxfield,2018,All,830000,5689864
Rosanna,2016,All,890000,50697500
Rosanna,2017,All,1067500,57114000
Rosanna,2018,All,1020500,12496740
Ripponlea,2016,All,632500,6716000
Ripponlea,2017,All,534250,3668500
Ripponlea,2018,All,782000,2482000
Mulgrave,2017,All,914500,64095000
Mulgrave,2018,All,863500,16402896
Warranwood,2017,All,922500,1845000
Warranwood,2018,All,1050000,1050000
Bellfield,2016,All,776500,7657000
Bellfield,2017,All,874500,12042500
Bellfield,2018,All,812500,1625000
Eltham,2017,All,915750,58248200
Eltham,2018,All,1005000,15975700
Aberfeldie,2016,All,1192500,27682000
Aberfeldie,2017,All,1325000,56525500
Aberfeldie,2018,All,1630000,7296000
Albanvale,2017,All,540000,4824500
Croydon South,2017,All,952000,6667000
Croydon South,2018,All,808500,3172000
Langwarrin,2017,All,564750,7117500
Langwarrin,2018,All,570000,1770000
Caulfield,2016,All,1155000,6935500
Caulfield,2017,All,542500,5281000
Dingley Village,2017,All,871000,29452500
Dingley Village,2018,All,877500,10581500
Eumemmerring,2017,All,580000,1798000
Hillside,2017,All,648000,31272700
Hillside,2018,All,666000,13792000
New Gisborne,2017,All,703750,3327500
New Gisborne,2018,All,625000,625000
Kings Park,2017,All,528000,5411000
Kings Park,2018,All,635000,3000000
Kurunjang,2017,All,358500,3563500
Kurunjang,2018,All,439000,1385000
Ringwood East,2017,All,905000,26827888
Ringwood East,2018,All,797500,6244000
Thomastown,2017,All,651000,39804500
Thomastown,2018,All,632000,12450500
Werribee South,2017,All,355000,355000
Werribee South,2018,All,640000,640000
Monbulk,2017,All,720000,720000
Nunawading,2017,All,1008500,43861580
Nunawading,2018,All,868000,11685000
Caulfield North,2016,All,570000,20193500
Caulfield North,2017,All,616000,40676750
Caulfield North,2018,All,715000,2910000
Ferntree Gully,2017,All,761000,35589488
Ferntree Gully,2018,All,755000,8430000
Doreen,2017,All,550000,10350000
Doreen,2018,All,537000,9866500
Beaumaris,2017,All,1660000,100911000
Beaumaris,2018,All,1660000,32321000
Springvale,2017,All,752500,21026500
Springvale,2018,All,810000,9149000
Darley,2017,All,380000,380000
Ivanhoe East,2016,All,1700000,31233000
Ivanhoe East,2017,All,1879000,37643000
Ivanhoe East,2018,All,1461000,5424000
Tullamarine,2017,All,610000,24599500
Tullamarine,2018,All,610000,3684500
Brunswick,2016,All,860000,127795000
Brunswick,2017,All,1025000,202174150
Brunswick,2018,All,1000000,48512500
Essendon North,2016,All,712000,8601000
Essendon North,2017,All,801000,25038000
Essendon North,2018,All,650000,1725000
Moonee Ponds,2016,All,975500,99672000
Moonee Ponds,2017,All,1207500,138763200
Moonee Ponds,2018,All,1250000,35297500
Diggers Rest,2017,All,428500,2775000
Diggers Rest,2018,All,517500,1035000
Oak Park,2016,All,719375,33833483
Oak Park,2017,All,865000,51333444
Oak Park,2018,All,600000,7385000
Wonga Park,2017,All,1357500,2715000
Altona,2016,All,720000,31999700
Altona,2017,All,907000,53998250
Altona,2018,All,1005000,10375000
Hampton,2016,All,1515000,143357000
Hampton,2017,All,1715000,181261250
Hampton,2018,All,1429000,33390000
viewbank,2017,All,885000,885000
Coldstream,2017,All,630000,630000
Clayton,2017,All,1045000,34077888
Clayton,2018,All,962000,5803000
Silvan,2017,All,1077500,2155000
Noble Park,2017,All,650000,25292000
Noble Park,2018,All,630000,7275500
Doncaster,2016,All,1201000,105058400
Doncaster,2017,All,1350000,135426200
Doncaster,2018,All,1300000,18505000
Gowanbrae,2016,All,600000,10516500
Gowanbrae,2017,All,820000,16339000
Gowanbrae,2018,All,770000,4185000
Campbellfield,2016,All,445000,2693000
Campbellfield,2017,All,620000,4196000
Campbellfield,2018,All,407500,1890000
Doveton,2017,All,504250,9266500
Doveton,2018,All,670000,670000
Box Hill,2016,All,1185000,46635900
Box Hill,2017,All,1525000,55292100
Box Hill,2018,All,2000000,10677888
Oakleigh South,2016,All,900000,43875347
Oakleigh South,2017,All,1043750,65675349
Oakleigh South,2018,All,949000,1898000
Frankston South,2017,All,870500,30311500
Frankston South,2018,All,872500,7450500
Bayswater,2017,All,720000,21115000
Bayswater,2018,All,822000,4059000
Newport,2016,All,922500,83854500
Newport,2017,All,1000000,104245500
Newport,2018,All,935000,26857100
Derrimut,2017,All,749000,7493000
Derrimut,2018,All,805000,3948000
South Yarra,2016,All,687000,142206350
South Yarra,2017,All,837500,167071300
South Yarra,2018,All,940000,37857200
Bacchus Marsh,2017,All,431000,1692000
Preston,2016,All,850000,136724538
Preston,2017,All,902500,186480450
Preston,2018,All,875000,42661000
Dandenong North,2017,All,645400,24438700
Dandenong North,2018,All,661750,4084500
Glenroy,2016,All,592000,77231587
Glenroy,2017,All,685500,128407543
Glenroy,2018,All,685000,20652777
Riddells Creek,2017,All,892250,1784500
Riddells Creek,2018,All,695000,1390000
Bonbeach,2017,All,942500,13157500
Bonbeach,2018,All,1050000,1050000
Ivanhoe,2016,All,855000,68278500
Ivanhoe,2017,All,1215000,118398500
Ivanhoe,2018,All,1155000,19808000
Frankston North,2017,All,493000,6591000
Research,2017,All,720000,2955000
Research,2018,All,900000,2480000
Mont Albert,2016,All,1320000,46988000
Mont Albert,2017,All,1510000,56405888
Mont Albert,2018,All,1700000,16827500
Lysterfield,2018,All,730000,730000
Cairnlea,2017,All,696000,13270200
Cairnlea,2018,All,706500,1413000
Bentleigh,2016,All,1275000,141449500
Bentleigh,2017,All,1335000,169554409
Bentleigh,2018,All,1350000,43855500
South Kingsville,2016,All,691000,10831250
South Kingsville,2017,All,825000,9933000
South Kingsville,2018,All,1015000,2775000
Edithvale,2017,All,870000,26149000
Edithvale,2018,All,808500,8243000
Carlton,2016,All,860000,33002350
Carlton,2017,All,1044850,46194700
Carlton,2018,All,1252000,12156000
Hughesdale,2016,All,1111250,29947500
Hughesdale,2017,All,998000,31049000
Hughesdale,2018,All,705000,2220000
Boronia,2017,All,783000,26268100
Boronia,2018,All,740000,8125500
Middle Park,2016,All,1660000,29912000
Middle Park,2017,All,1920000,65956000
Middle Park,2018,All,2650000,24668000
Endeavour Hills,2017,All,659000,11172500
Endeavour Hills,2018,All,824000,5104000
Highett,2017,All,1190000,83212500
Highett,2018,All,1280000,22290000
Keilor Downs,2017,All,681500,23014601
Keilor Downs,2018,All,660000,5900000
Heathmont,2017,All,920000,32753500
Heathmont,2018,All,1105500,6886000
Kalkallo,2018,All,615000,615000
Maidstone,2016,All,695000,40662000
Maidstone,2017,All,715000,59611000
Maidstone,2018,All,670000,7166888
Mitcham,2017,All,971500,82030788
Mitcham,2018,All,975500,17698500
Fawkner,2016,All,615000,36002000
Fawkner,2017,All,710000,60384000
Fawkner,2018,All,725000,19161500
Keysborough,2017,All,773000,20009500
Keysborough,2018,All,715000,2200000
Williamstown North,2016,All,580000,9498500
Williamstown North,2017,All,1070000,14008000
Williamstown North,2018,All,915000,1830000
Princes Hill,2016,All,1700000,4708000
Princes Hill,2017,All,1600000,18402500
Princes Hill,2018,All,1552500,3105000
Werribee,2017,All,497500,56011450
Werribee,2018,All,500500,20909000
Keilor,2017,All,775000,13832500
Keilor,2018,All,780000,2325000
Wattle Glen,2017,All,1140000,1140000
Wattle Glen,2018,All,835000,835000
Flemington,2016,All,850000,26780000
Flemington,2017,All,947500,50434500
Flemington,2018,All,618500,5290500
Croydon North,2017,All,835000,16433800
Croydon North,2018,All,610000,1835500
Seaholme,2016,All,1000000,6260000
Seaholme,2017,All,870000,9062500
Seaholme,2018,All,1105000,3365000
Diamond Creek,2017,All,742500,13501000
Diamond Creek,2018,All,735000,6258500
St Albans,2017,All,610000,45619100
St Albans,2018,All,635000,14080500
Hurstbridge,2017,All,695000,1390000
Eltham North,2017,All,900000,15286517
Eltham North,2018,All,862500,1725000
Eynesbury,2017,All,700000,700000
Gladstone Park,2017,All,652000,26314500
Gladstone Park,2018,All,649500,6583500
Mooroolbark,2017,All,740000,22002000
Mooroolbark,2018,All,751000,7714000
Alphington,2016,All,1304000,31602000
Alphington,2017,All,1540000,41869000
Alphington,2018,All,1647500,13176000
Forest Hill,2017,All,1065000,44315500
Forest Hill,2018,All,880000,6230000
Laverton,2017,All,590000,1803500
Laverton,2018,All,450000,1430000
Lower Plenty,2017,All,810000,11511000
Lower Plenty,2018,All,753750,6675500
St Helena,2017,All,897000,6597000
St Helena,2018,All,933000,2811000
Chelsea,2017,All,850000,25167000
Chelsea,2018,All,620000,3110000
Yarra Glen,2017,All,620000,620000
Mount Evelyn,2017,All,620000,1790000
Mount Evelyn,2018,All,573000,573000
Whittlesea,2017,All,472500,1956000
Brunswick West,2016,All,793000,59292000
Brunswick West,2017,All,733500,86068600
Brunswick West,2018,All,830000,23076700
Berwick,2017,All,747500,24508000
Berwick,2018,All,780000,7040000
Gisborne South,2017,All,1140000,2280000
Kealba,2016,All,500000,9250500
Kealba,2017,All,600000,8079500
Kealba,2018,All,639250,2398500
Truganina,2017,All,504000,7175350
Truganina,2018,All,590500,3317000
Northcote,2016,All,1101000,153887000
Northcote,2017,All,1225000,215870250
Northcote,2018,All,1315000,57959500
Skye,2017,All,537849,2210698
Jacana,2016,All,460500,6265500
Jacana,2017,All,575500,14139500
Jacana,2018,All,575000,4785000
Viewbank,2016,All,895000,26787500
Viewbank,2017,All,1011000,38642250
Viewbank,2018,All,1095000,8320500
Healesville,2017,All,688000,1376000
Heatherton,2017,All,830000,1660000
Heatherton,2018,All,790000,2188000
Braybrook,2016,All,645000,19956500
Braybrook,2017,All,760000,30721200
Braybrook,2018,All,801500,5406500
Oakleigh,2016,All,872500,27058500
Oakleigh,2017,All,1160000,49461500
Oakleigh,2018,All,1320000,8698000
Tarneit,2017,All,526000,15204250
Tarneit,2018,All,521750,4222500
Taylors Lakes,2017,All,725000,32687500
Taylors Lakes,2018,All,791000,10748000
Wyndham Vale,2017,All,503100,21569300
Wyndham Vale,2018,All,510000,5563500
Footscray,2016,All,738000,60008000
Footscray,2017,All,800000,83667000
Footscray,2018,All,760000,15048500
Kensington,2016,All,785000,64967090
Kensington,2017,All,847500,77629888
Kensington,2018,All,976000,10504500
Attwood,2017,All,835000,8565000
Attwood,2018,All,578000,1933000
Plenty,2017,All,1141000,2282000
Airport West,2016,All,715000,38374500
Airport West,2017,All,780000,62595501
Airport West,2018,All,805000,12486000
Bayswater North,2017,All,760000,11377200
Bayswater North,2018,All,707200,1953200
Clayton South,2017,All,845000,23673000
Clayton South,2018,All,820000,4375500
Prahran,2016,All,1090000,78723300
Prahran,2017,All,1100000,141899700
Prahran,2018,All,1060000,26556000
West Footscray,2016,All,812500,42182500
West Footscray,2017,All,842500,72179000
West Footscray,2018,All,866000,16928000
Rockbank,2017,All,480000,960000
Rockbank,2018,All,767500,1535000
Carrum,2017,All,712500,12651000
Carrum,2018,All,788000,5100000
Fawkner Lot,2018,All,616000,616000
Eaglemont,2016,All,1668500,27631000
Eaglemont,2017,All,1756000,33998000
Eaglemont,2018,All,1250000,3904000
Surrey Hills,2016,All,1650000,118356500
Surrey Hills,2017,All,1520000,176142500
Surrey Hills,2018,All,1425000,24144500
Kilsyth,2017,All,733750,10444000
Kilsyth,2018,All,650000,3525000
Windsor,2016,All,623000,31733500
Windsor,2017,All,1045000,41273000
Windsor,2018,All,1350000,12467500
Lalor,2017,All,671000,48825500
Lalor,2018,All,632500,8898500
Wantirna,2017,All,963500,32180300
Wantirna,2018,All,939000,7449888
Sunshine,2016,All,663750,50546999
Sunshine,2017,All,760000,70410300
Sunshine,2018,All,827500,13766500
Chelsea Heights,2017,All,720500,13346990
Chelsea Heights,2018,All,835000,835000
Lilydale,2017,All,840000,2445000
Lilydale,2018,All,660000,2060000
Plumpton,2017,All,587000,2778500
Plumpton,2018,All,660000,3131500
Toorak,2016,All,1170000,128356801
Toorak,2017,All,922500,137711500
Toorak,2018,All,1167500,18625000
Brunswick East,2016,All,899000,45278500
Brunswick East,2017,All,908500,82992000
Brunswick East,2018,All,965000,9881000
Donvale,2017,All,1145000,45195500
Donvale,2018,All,1262000,9606000
Cremorne,2016,All,1000000,18374500
Cremorne,2017,All,1200000,13495500
Cremorne,2018,All,1268500,7002000
Huntingdale,2017,All,1080000,10408800
Burnside,2017,All,620000,4342600
Emerald,2017,All,782500,1565000
Emerald,2018,All,462000,462000
Narre Warren,2017,All,635000,8776500
Narre Warren,2018,All,573500,1147000
Ardeer,2017,All,617500,8837000
Ardeer,2018,All,624000,5586500
Armadale,2016,All,1101000,84200000
Armadale,2017,All,1440000,141247500
Armadale,2018,All,798000,14989500
Brighton,2016,All,1627500,236474188
Brighton,2017,All,1850000,332759750
Brighton,2018,All,1900000,59766000
Burwood East,2017,All,1053000,33628800
Burwood East,2018,All,1177000,10109000
Altona Meadows,2017,All,610000,11305000
Altona Meadows,2018,All,739500,5687500
croydon,2017,All,730000,730000
Kingsbury,2016,All,610000,5867000
Kingsbury,2017,All,735500,12926001
Kingsbury,2018,All,702500,6147500
